peak_id|peak_name|alt_names|height|location|approximate_coordinates|longitude|latitude|dms_longitude|dms_latitude|coordinate_notes|himal
AMAD|Ama Dablam|Amai Dablang|6814|Khumbu Himal|N|86.8604289|27.8621001|86° 51′ 37.54404″ E|27° 51′ 43.56036″ N|"OSM: (27° 51′ 43.56036″ N, 86° 51′ 37.54404″ E)
MoTCA: (27° 51′ 40.00000″ N, 86° 51′ 50.00000″ E)"|BARUN
AMPG|Amphu Gyabjen||5630|Khumbu Himal (N of Ama Dablam)|Y|86.8708333|27.8811111|86° 52′ 15.00000″ E|27° 52′ 52.00000″ N|MoTCA: (27° 52′ 52.00000″ N, 86° 52′ 15.00000″ E)|BARUN
ANN1|Annapurna I||8091|Annapurna Himal|N|83.8270789|28.5962553|83° 49′ 37.48404″ E|28° 35′ 46.51908″ N|"OSM: (28° 35′ 46.51908″ N, 83° 49′ 37.48404″ E)
MoTCA: (28° 35′ 44.00000″ N, 83° 49′ 21.00000″ E)"|ANNAPURNA
ANN2|Annapurna II||7937|Annapurna Himal|N|84.1218222|28.5349707|84° 07′ 18.55992″ E|28° 32′ 05.89452″ N|"OSM: (28° 32′ 05.89452″ N, 84° 07′ 18.55992″ E)
MoTCA: (28° 32′ 05.00000″ N, 84° 07′ 27.00000″ E)"|ANNAPURNA
ANN3|Annapurna III||7555|Annapurna Himal|N|83.9891091|28.5853509|83° 59′ 20.79276″ E|28° 35′ 07.26324″ N|"OSM: (28° 35′ 07.26324″ N, 83° 59′ 20.79276″ E)
MoTCA: (28° 35′ 04.00000″ N, 83° 59′ 30.00000″ E)"|ANNAPURNA
ANN4|Annapurna IV||7525|Annapurna Himal|N|84.0835623|28.5368932|84° 05′ 00.82428″ E|28° 32′ 12.81552″ N|"OSM: (28° 32′ 12.81552″ N, 84° 05′ 00.82428″ E)
MoTCA: (28° 32′ 12.00000″ N, 84° 05′ 06.00000″ E)"|ANNAPURNA
ANNE|Annapurna I East|Annapurna I|8026|Annapurna Himal (ENE of Annapurna I)|N|83.8270789|28.5962553|83° 49′ 37.48404″ E|28° 35′ 46.51908″ N|"OSM: (28° 35′ 46.51908″ N, 83° 49′ 37.48404″ E)
MoTCA: (28° 35′ 44.00000″ N, 83° 49′ 21.00000″ E)"|ANNAPURNA
ANNM|Annapurna I Middle|Annapurna I|8051|Annapurna Himal (ENE of Annapurna I)|N|83.8270789|28.5962553|83° 49′ 37.48404″ E|28° 35′ 46.51908″ N|"OSM: (28° 35′ 46.51908″ N, 83° 49′ 37.48404″ E)
MoTCA: (28° 35′ 44.00000″ N, 83° 49′ 21.00000″ E)"|ANNAPURNA
ANNS|Annapurna South|Annapurna Dakshin,Moditse|7219|Annapurna Himal (S of Annapurna I and Fang)|N|83.8063433|28.5183959|83° 48′ 22.83588″ E|28° 31′ 06.22524″ N|"OSM: (28° 31′ 06.22524″ N, 83° 48′ 22.83588″ E)
MoTCA: (28° 31′ 06.00000″ N, 83° 48′ 29.00000″ E)"|ANNAPURNA
APIM|Api Main||7132|Api Himal|Y|80.9316667|30.0052778|80° 55′ 54.00000″ E|30° 00′ 19.00000″ N|MoTCA: (30° 00′ 19.00000″ N, 80° 55′ 54.00000″ E)|YOKAPAHAR
APIW|Api West||7076|Api Himal (W of Api)|Y|80.9255556|30.0016667|80° 55′ 32.00000″ E|30° 00′ 06.00000″ N|MoTCA: (30° 00′ 06.00000″ N, 80° 55′ 32.00000″ E)|YOKAPAHAR
BARU|Baruntse|Barun Tse,Kali Himal|7152|Khumbu Himal (W of Makalu)|N|86.9796489|27.8720615|86° 58′ 46.73604″ E|27° 52′ 19.42140″ N|"OSM: (27° 52′ 19.42140″ N, 86° 58′ 46.73604″ E)
MoTCA: (27° 52′ 17.00000″ N, 86° 58′ 58.00000″ E)"|BARUN
BAUD|Baudha||6672|Mansiri Himal (SE of Manaslu and Himalchuli)|Y|84.6788889|28.3755556|84° 40′ 44.00000″ E|28° 22′ 32.00000″ N|MoTCA: (28° 22′ 32.00000″ N, 84° 40′ 44.00000″ E)|MANASLU
BHEM|Bhemdang Ri|Morimoto,Morimoto Peak|6150|Jugal Himal (SE of Shalbachum)|N|85.6635329|28.2721381|85° 39′ 48.71844″ E|28° 16′ 19.69716″ N|"OSM: (28° 16′ 19.69716″ N, 85° 39′ 48.71844″ E)
MoTCA: (28° 16′ 24.00000″ N, 85° 40′ 04.00000″ E)"|LANGTANG
BHRI|Bhrikuti|Damodar Himal|6476|Damodar Himal (NE of Thorong La near Tibetan border)|Y|84.1475|28.9188889|84° 08′ 51.00000″ E|28° 55′ 08.00000″ N|MoTCA: (28° 55′ 08.00000″ N, 84° 08′ 51.00000″ E)|DAMODAR
BOBA|Bobaye||6808|Api Himal (S of Nampa)|N|81.0195732|29.9574701|81° 01′ 10.46352″ E|29° 57′ 26.89236″ N|"OSM: (29° 57′ 26.89236″ N, 81° 01′ 10.46352″ E)
MoTCA: (29° 57′ 33.00000″ N, 81° 01′ 21.00000″ E)"|YOKAPAHAR
CHAM|Chamlang||7321|Khumbu Himal (in Hongku Valley, SW of Makalu)|N|86.98151|27.7772801|86° 58′ 53.43600″ E|27° 46′ 38.20836″ N|"OSM: (27° 46′ 38.20836″ N, 86° 58′ 53.43600″ E)
MoTCA: (27° 46′ 31.00000″ N, 86° 58′ 56.00000″ E)"|BARUN
CHAN|Changla|Changla Himal|6563|Changla Himal (N of Jumla on Tibetan border)|Y|82.1288889|30.3030556|82° 07′ 44.00000″ E|30° 18′ 11.00000″ N|MoTCA: (30° 18′ 11.00000″ N, 82° 07′ 44.00000″ E)|CHANGLA
CHMN|Chamar North|Chamar,Peak 23|7165|Shringi Himal|N|84.9437234|28.5550852|84° 56′ 37.40424″ E|28° 33′ 18.30672″ N|"OSM: (28° 33′ 18.30672″ N, 84° 56′ 37.40424″ E)
MoTCA: (28° 33′ 19.00000″ N, 84° 56′ 49.00000″ E)"|SERANG
CHEO|Cheo Himal||6820|Peri Himal (ESE of Himlung Himal on Tibetan border)|Y|84.4541667|28.7647222|84° 27′ 15.00000″ E|28° 45′ 53.00000″ N|MoTCA: (28° 45′ 53.00000″ N, 84° 27′ 15.00000″ E)|PERI
CHOY|Cho Oyu|Cho-Oyu|8188|Khumbu Himal (NW of Everest on Tibetan border)|N|86.659654|28.0967613|86° 39′ 34.75440″ E|28° 05′ 48.34068″ N|"OSM: (28° 05′ 48.34068″ N, 86° 39′ 34.75440″ E)
MoTCA: (28° 05′ 37.00000″ N, 86° 39′ 48.00000″ E)"|KHUMBU
CHOB|Chobuje|Tsoboje,Chobutse|6686|Rolwaling Himal (NE of Tsho Rolpa)|N|86.5089226|27.8745166|86° 30′ 32.12136″ E|27° 52′ 28.25976″ N|"OSM: (27° 52′ 28.25976″ N, 86° 30′ 32.12136″ E)
MoTCA: (27° 52′ 56.00000″ N, 86° 29′ 30.00000″ E)"|ROLWALING
CHOL|Cholatse|Chola Tse,Cholotse,Jobo Lhaptshan,Tsolatse|6423|Khumbu Himal (N of Tawoche)|N|86.7648644|27.9190402|86° 45′ 53.51184″ E|27° 55′ 08.54472″ N|"OSM: (27° 55′ 08.54472″ N, 86° 45′ 53.51184″ E)
MoTCA: (27° 55′ 13.00000″ N, 86° 46′ 08.00000″ E)"|KHUMBU
CHOP|Cho Polu||6700|Khumbu Himal (S of Shartse, N of Baruntse)|N|86.9819868|27.9194539|86° 58′ 55.15248″ E|27° 55′ 10.03404″ N|"OSM: (27° 55′ 10.03404″ N, 86° 58′ 55.15248″ E)
MoTCA: (27° 55′ 10.00000″ N, 86° 59′ 01.00000″ E)"|BARUN
CHUL|Chulu Central|Chulu,Chulu East|6584|Damodar Himal (E of Thorong La)|N|84.035097|28.7368233|84° 02′ 06.34920″ E|28° 44′ 12.56388″ N|"OSM: (28° 44′ 12.56388″ N, 84° 02′ 06.34920″ E)
MoTCA: (28° 44′ 09.00000″ N, 84° 02′ 12.00000″ E)"|DAMODAR
CHUG|Chukyima Go|Chugimago|6258|Rolwaling Himal (WSW of Tesi Laptsa)|Y|86.4525|27.8322222|86° 27′ 09.00000″ E|27° 49′ 56.00000″ N|MoTCA: (27° 49′ 56.00000″ N, 86° 27′ 09.00000″ E)|ROLWALING
CHUR|Churen Himal Central|Churen|7385|Dhaulagiri Himal (NW of Dhaulagiri VI)|Y|83.2122222|28.7322222|83° 12′ 44.00000″ E|28° 43′ 56.00000″ N|MoTCA: (28° 43′ 56.00000″ N, 83° 12′ 44.00000″ E)|DHAULAGIRI
CHUW|Chulu West||6419|Damodar Himal (E of Thorong La)|N|84.0228323|28.7454053|84° 01′ 22.19628″ E|28° 44′ 43.45908″ N|"OSM: (28° 44′ 43.45908″ N, 84° 01′ 22.19628″ E)
MoTCA: (28° 44′ 36.00000″ N, 84° 01′ 30.00000″ E)"|DAMODAR
TAPL|Taple Shikhar|Taple Sikhar,Cross Peak|6447|Kangchenjunga Himal (W of Nepal Peak)|Y|88.1477778|27.7611111|88° 08′ 52.00000″ E|27° 45′ 40.00000″ N|MoTCA: (27° 45′ 40.00000″ N, 88° 08′ 52.00000″ E)|NORTHERN
CTSE|Changtse|Everest North Peak,Chang Himal,Wedge Peak,Changtse Peak|7583|North of Everest (in Tibet)|N|86.9151856|28.024329|86° 54′ 54.66816″ E|28° 01′ 27.58440″ N|"OSM: (28° 01′ 27.58440″ N, 86° 54′ 54.66816″ E)
MoTCA: (27° 45′ 55.00000″ N, 88° 05′ 10.00000″ E)"|KHUMBU
DHA1|Dhaulagiri I|Dhaulagiri|8167|Dhaulagiri Himal|N|83.4894884|28.6976088|83° 29′ 22.15824″ E|28° 41′ 51.39168″ N|"OSM: (28° 41′ 51.39168″ N, 83° 29′ 22.15824″ E)
MoTCA: (28° 41′ 48.00000″ N, 83° 29′ 42.00000″ E)"|DHAULAGIRI
DHA2|Dhaulagiri II||7751|Dhaulagiri Himal (NW of Dhaulagiri I)|N|83.3873786|28.7631589|83° 23′ 14.56296″ E|28° 45′ 47.37204″ N|"OSM: (28° 45′ 47.37204″ N, 83° 23′ 14.56296″ E)
MoTCA: (28° 45′ 47.00000″ N, 83° 23′ 26.00000″ E)"|DHAULAGIRI
DHA3|Dhaulagiri III|Naula,Nalu|7715|Dhaulagiri Himal (SW of Dhaulagiri II)|N|83.3771445|28.7540263|83° 22′ 37.72020″ E|28° 45′ 14.49468″ N|"OSM: (28° 45′ 14.49468″ N, 83° 22′ 37.72020″ E)
MoTCA: (28° 45′ 14.00000″ N, 83° 22′ 46.00000″ E)"|DHAULAGIRI
DHA4|Dhaulagiri IV||7661|Dhaulagiri Himal (W of Dhaulagiri V)|N|83.314379|28.7357489|83° 18′ 51.76440″ E|28° 44′ 08.69604″ N|"OSM: (28° 44′ 08.69604″ N, 83° 18′ 51.76440″ E)
MoTCA: (28° 44′ 09.00000″ N, 83° 19′ 01.00000″ E)"|DHAULAGIRI
DHA5|Dhaulagiri V||7618|Dhaulagiri Himal (SW of Dhaulagiri III)|N|83.3605794|28.734057|83° 21′ 38.08584″ E|28° 44′ 02.60520″ N|"OSM: (28° 44′ 02.60520″ N, 83° 21′ 38.08584″ E)
MoTCA: (28° 44′ 02.00000″ N, 83° 21′ 50.00000″ E)"|DHAULAGIRI
DHA6|Dhaulagiri VI||7268|Dhaulagiri Himal (WSW of Dhaulagiri IV)|N|83.2731956|28.7083897|83° 16′ 23.50416″ E|28° 42′ 30.20292″ N|"OSM: (28° 42′ 30.20292″ N, 83° 16′ 23.50416″ E)
MoTCA: (28° 42′ 30.00000″ N, 83° 16′ 33.00000″ E)"|DHAULAGIRI
DHAM|Dhampus|Ohampus Peak,Marpha Peak,Dhampus Peak,Thapa Peak|6012|Mukut Himal (NE of Dhaulagiri I and Tukuche)|N|83.6064455|28.7979512|83° 36′ 23.20380″ E|28° 47′ 52.62432″ N|"OSM: (28° 47′ 52.62432″ N, 83° 36′ 23.20380″ E)
MoTCA: (28° 47′ 53.00000″ N, 83° 36′ 43.00000″ E)"|DHAULAGIRI
DOGA|Dogari|Dogari Himal|6536|Dhaulagiri Himal (WNW of Putha Hiunchuli)|Y|83.1002778|28.7666667|83° 06′ 01.00000″ E|28° 46′ 00.00000″ N|MoTCA: (28° 46′ 00.00000″ N, 83° 06′ 01.00000″ E)|DHAULAGIRI
PEMK|Pemthang Karpo Ri|Pem Thang Karpo Ri,Ramthang Karpo Ri,Dome Blanc,Kan Karmo|6865|Jugal Himal (NNW of Dorje Lhakpa on Tibetan border)|N|85.7482438|28.2492806|85° 44′ 53.67768″ E|28° 14′ 57.41016″ N|"OSM: (28° 14′ 57.41016″ N, 85° 44′ 53.67768″ E)
MoTCA: (28° 14′ 57.00000″ N, 85° 45′ 02.00000″ E)"|JUGAL
DORJ|Dorje Lhakpa|Dorje Lyakpa|6966|Jugal Himal (near Tibetan border)|Y|85.7811111|28.1738889|85° 46′ 52.00000″ E|28° 10′ 26.00000″ N|MoTCA: (28° 10′ 26.00000″ N, 85° 46′ 52.00000″ E)|JUGAL
DRAN|Drangnag Ri|Dranganag Ri,Thaknak Ri|6757|Rolwaling Himal (N of Tesi Laptsa near Tibetan border)|Y|86.5263889|27.9469444|86° 31′ 35.00000″ E|27° 56′ 49.00000″ N|MoTCA: (27° 56′ 49.00000″ N, 86° 31′ 35.00000″ E)|ROLWALING
DROM|Drohmo|Domo,Longridge Peak|6881|Jongsang Himal (NNW of Kangchenjunga)|Y|88.105|27.8238889|88° 06′ 18.00000″ E|27° 49′ 26.00000″ N|MoTCA: (27° 49′ 26.00000″ N, 88° 06′ 18.00000″ E)|JANAK
EVER|Everest|Qomolungma,Mount Everest,Chomolungma,Sagarmatha|8850|Khumbu Himal|N|86.9248308|27.9878675|86° 55′ 29.39088″ E|27° 59′ 16.32300″ N|"OSM: (27° 59′ 16.32300″ N, 86° 55′ 29.39088″ E)
MoTCA: (27° 59′ 17.00000″ N, 86° 55′ 41.00000″ E)"|KHUMBU
FANG|Fang|Varaha Shikhar,Varaha Chuli,Finger|7647|Annapurna Himal (SW of Annapurna I)|Y|83.8033333|28.5780556|83° 48′ 12.00000″ E|28° 34′ 41.00000″ N|MoTCA: (28° 34′ 41.00000″ N, 83° 48′ 12.00000″ E)|ANNAPURNA
FIRN|Firnkopf|Firnkof East,Firnkopf East|6730|Saipal Himal (W of Saipal)|Y|81.4572222|29.9013889|81° 27′ 26.00000″ E|29° 54′ 05.00000″ N|MoTCA: (29° 54′ 05.00000″ N, 81° 27′ 26.00000″ E)|SAIPAL
FIRW|Firnkopf West|Firnkof West|6745|Saipal Himal (WSW of Firnkopf)|Y|81.4469444|29.8980556|81° 26′ 49.00000″ E|29° 53′ 53.00000″ N|MoTCA: (29° 53′ 53.00000″ N, 81° 26′ 49.00000″ E)|SAIPAL
GAMA|Gama Peak||7187|Dhaulagiri Himal (N of Dhaulagiri VI, S of Junction Peak)|||||||DHAULAGIRI
GAN1|Ganesh I|Yangra,Yangra Kangri|7422|Ganesh Himal (on Tibetan border)|N|85.1294745|28.3912625|85° 07′ 46.10820″ E|28° 23′ 28.54500″ N|"OSM: (28° 23′ 28.54500″ N, 85° 07′ 46.10820″ E)
MoTCA: (28° 23′ 30.00000″ N, 85° 07′ 44.00000″ E)"|GANESH
GAN3|Ganesh III|Lopsang Karbo,Kang Lombo,Salasungo|7043|Ganesh Himal (S of Ganesh I on Tibetan border)|N|85.120491|28.3363962|85° 07′ 13.76760″ E|28° 20′ 11.02632″ N|"OSM: (28° 20′ 11.02632″ N, 85° 07′ 13.76760″ E)
MoTCA: (28° 20′ 07.00000″ N, 85° 07′ 29.00000″ E)"|GANESH
GAN2|Ganesh II|Ganesh Nw|7118|Ganesh Himal (WSW of Ganesh I)|N|85.0551861|28.3789024|85° 03′ 18.66996″ E|28° 22′ 44.04864″ N|"OSM: (28° 22′ 44.04864″ N, 85° 03′ 18.66996″ E)
MoTCA: (28° 22′ 44.00000″ N, 85° 03′ 33.00000″ E)"|GANESH
GAN4|Ganesh IV|Pabil|7104|Ganesh Himal (SW of Ganesh I)|N|85.0795779|28.3452083|85° 04′ 46.48044″ E|28° 20′ 42.74988″ N|"OSM: (28° 20′ 42.74988″ N, 85° 04′ 46.48044″ E)
MoTCA: (28° 20′ 44.00000″ N, 85° 04′ 56.00000″ E)"|GANESH
GAN5|Ganesh V||6770|Ganesh Himal (SE of Ganesh I on Tibetan border)|N|85.1628264|28.3312446|85° 09′ 46.17504″ E|28° 19′ 52.48056″ N|"OSM: (28° 19′ 52.48056″ N, 85° 09′ 46.17504″ E)
MoTCA: (28° 19′ 55.00000″ N, 85° 09′ 39.00000″ E)"|GANESH
GAN6|Ganesh VI||6908|Ganesh Himal (subpeak SE of Ganesh II)|N|85.0614738|28.3697277|85° 03′ 41.30568″ E|28° 22′ 11.01972″ N|"OSM: (28° 22′ 11.01972″ N, 85° 03′ 41.30568″ E)
MoTCA: (28° 22′ 16.00000″ N, 85° 03′ 50.00000″ E)"|GANESH
GANC|Ganchenpo|Fluted Peak,Ganchempo|6378|Jugal Himal (W of Dorje Lhakpa and Urkinmang)|N|85.6785419|28.1693908|85° 40′ 42.75084″ E|28° 10′ 09.80688″ N|"OSM: (28° 10′ 09.80688″ N, 85° 40′ 42.75084″ E)
MoTCA: (28° 10′ 08.00000″ N, 85° 40′ 52.00000″ E)"|JUGAL
GAND|Gandharva Chuli|Gabelhorn Peak,Gandharbha|6248|Annapurna Himal (SSW of Annapurna III near Machhapuchhare)|Y|83.9622222|28.5383333|83° 57′ 44.00000″ E|28° 32′ 18.00000″ N|MoTCA: (28° 32′ 18.00000″ N, 83° 57′ 44.00000″ E)|ANNAPURNA
GANG|Gangapurna||7455|Annapurna Himal (NW of Annapurna III)|N|83.9635144|28.605655|83° 57′ 48.65184″ E|28° 36′ 20.35800″ N|"OSM: (28° 36′ 20.35800″ N, 83° 57′ 48.65184″ E)
MoTCA: (28° 36′ 19.00000″ N, 83° 57′ 57.00000″ E)"|ANNAPURNA
GAUR|Gaurishankar|Jomo Tseringma,Gauri Shanker,Gauri Sankar|7135|Rolwaling Himal (on Tibetan border)|N|86.3345048|27.967351|86° 20′ 04.21728″ E|27° 58′ 02.46360″ N|"OSM: (27° 58′ 02.46360″ N, 86° 20′ 04.21728″ E)
MoTCA: (27° 57′ 54.00000″ N, 86° 20′ 16.00000″ E)"|ROLWALING
GHUN|Ghustang North|Ghustung North|6529|Dhaulagiri Himal (WNW of Gurja Himal)|Y|83.2472222|28.6805556|83° 14′ 50.00000″ E|28° 40′ 50.00000″ N|MoTCA: (28° 40′ 50.00000″ N, 83° 14′ 50.00000″ E)|DHAULAGIRI
GHUS|Ghustang South|Paschim Himal,Gurja Himal,Ghustung South,Gurja West,Mount Gurja|6465|Dhaulagiri Himal (WSW of Gurja Himal)|N|83.275664|28.6741019|83° 16′ 32.39040″ E|28° 40′ 26.76684″ N|"OSM: (28° 40′ 26.76684″ N, 83° 16′ 32.39040″ E)
MoTCA: (28° 40′ 20.00000″ N, 83° 14′ 46.00000″ E)"|DHAULAGIRI
MATA|Matathumba|Ghyuthumba East,Matatumpa|5767|Jagdula Lekh (S of Kanjiroba Himal)|||||||KANJIROBA
GHYM|Ghyuthumba Main|Pasang Peak,Gutumpa|5806|Jagdula Lekh (S of Kanjiroba Himal)|||||||KANJIROBA
GIME|Gimmigela Chuli East|Gimigela Chuli,Twins|7007|Kangchenjunga Himal (N of Kangchenjunga on Indian border)|Y|88.1611111|27.7405556|88° 09′ 40.00000″ E|27° 44′ 26.00000″ N|MoTCA: (27° 44′ 26.00000″ N, 88° 09′ 40.00000″ E)|NORTHERN
GIMM|Gimmigela Chuli|Gimigela Chuli,Gimmigela II,Twins|7350|Kangchenjunga Himal (N of Kangchenjunga on Indian border)|N|88.1779302|27.7467817|88° 10′ 40.54872″ E|27° 44′ 48.41412″ N|"OSM: (27° 44′ 48.41412″ N, 88° 10′ 40.54872″ E)
MoTCA: (27° 44′ 26.00000″ N, 88° 09′ 40.00000″ E)"|NORTHERN
GLAC|Glacier Dome|Tarke Kang,Tarke Khang,Tharke Khang|7168|Annapurna Himal (E of Annapurna I)|N|83.886437|28.6073547|83° 53′ 11.17320″ E|28° 36′ 26.47692″ N|"OSM: (28° 36′ 26.47692″ N, 83° 53′ 11.17320″ E)
MoTCA: (28° 02′ 38.00000″ N, 86° 45′ 06.00000″ E)"|ANNAPURNA
GURJ|Gurja Himal|Mount Gurja|7193|Dhaulagiri Himal (S of Dhaulagiri VI)|N|83.275664|28.6741019|83° 16′ 32.39040″ E|28° 40′ 26.76684″ N|"OSM: (28° 40′ 26.76684″ N, 83° 16′ 32.39040″ E)
MoTCA: (28° 40′ 26.00000″ N, 83° 16′ 40.00000″ E)"|DHAULAGIRI
GURK|Gurkarpo Ri|Gur Karpo Ri|6889|Jugal Himal (N of Dorje Lhakpa on Tibetan border)|N|85.7736263|28.2117364|85° 46′ 25.05468″ E|28° 12′ 42.25104″ N|"OSM: (28° 12′ 42.25104″ N, 85° 46′ 25.05468″ E)
MoTCA: (28° 12′ 35.00000″ N, 85° 46′ 38.00000″ E)"|JUGAL
GYAC|Gyachung Kang|Gyachung Khang|7861|Khumbu Himal (E of Cho Oyu on Tibetan border)|N|86.7448435|28.0980314|86° 44′ 41.43660″ E|28° 05′ 52.91304″ N|"OSM: (28° 05′ 52.91304″ N, 86° 44′ 41.43660″ E)
MoTCA: (28° 05′ 40.00000″ N, 86° 45′ 03.00000″ E)"|KHUMBU
GYAJ|Gyajikang|Gyaji Khang|7074|Peri Himal (SW of Himlung Himal)|Y|84.3741667|28.7330556|84° 22′ 27.00000″ E|28° 43′ 59.00000″ N|MoTCA: (28° 43′ 59.00000″ N, 84° 22′ 27.00000″ E)|PERI
LEOE|Leonpo Gang East|Gyalgen Peak,Loenpo Gang,Big White Peak,Leonpo Gang|6733|Jugal Himal (NE of Leonpo Gang on Tibetan border)|N|85.8001908|28.1964383|85° 48′ 00.68688″ E|28° 11′ 47.17788″ N|"OSM: (28° 11′ 47.17788″ N, 85° 48′ 00.68688″ E)
MoTCA: (28° 12′ 09.00000″ N, 85° 49′ 04.00000″ E)"|JUGAL
HIME|Himalchuli East|Himalchuli Main|7893|Mansiri Himal (SE of Manaslu)|Y|84.6413889|28.4369444|84° 38′ 29.00000″ E|28° 26′ 13.00000″ N|MoTCA: (28° 26′ 13.00000″ N, 84° 38′ 29.00000″ E)|MANASLU
HIML|Himlung Himal|Himlung East,Himlung|7126|Peri Himal (NW of Manaslu near Tibetan border)|N|84.4217998|28.7723305|84° 25′ 18.47928″ E|28° 46′ 20.38980″ N|"OSM: (28° 46′ 20.38980″ N, 84° 25′ 18.47928″ E)
MoTCA: (28° 46′ 09.00000″ N, 84° 26′ 20.00000″ E)"|PERI
HIMN|Himalchuli North||7331|Mansiri Himal (SE of Manaslu, WNW of Himalchuli Main)|Y|84.6063889|28.4491667|84° 36′ 23.00000″ E|28° 26′ 57.00000″ N|MoTCA: (28° 26′ 57.00000″ N, 84° 36′ 23.00000″ E)|MANASLU
