peak_id|peak_name|alt_names|longitude|latitude|dms_longitude|dms_latitude
272013895|Kanchenjunga|Kangchenjunga|88.1483408|27.7026008|88° 08′ 54.02688″ E|27° 42′ 09.36288″ N
274019561|Mount Kongde Ri||86.6149573|27.8019697|86° 36′ 53.84628″ E|27° 48′ 07.09092″ N
274028194|Thamserku||86.785298|27.7898577|86° 47′ 07.07280″ E|27° 47′ 23.48772″ N
274029669|Kusum Kangguru||86.791863|27.7322274|86° 47′ 30.70680″ E|27° 43′ 56.01864″ N
288179924|Xixiabangma|Shishapangma,Xixabangma|85.7782824|28.3553668|85° 46′ 41.81664″ E|28° 21′ 19.32048″ N
288180659|Cho Oyu||86.659654|28.0967613|86° 39′ 34.75440″ E|28° 05′ 48.34068″ N
288181001|Gyachung Kang||86.7448435|28.0980314|86° 44′ 41.43660″ E|28° 05′ 52.91304″ N
289923681|Annapurna I||83.8270789|28.5962553|83° 49′ 37.48404″ E|28° 35′ 46.51908″ N
310562749|Jongsang Ri|Jongsong Peak|88.1349737|27.8815971|88° 08′ 05.90532″ E|27° 52′ 53.74956″ N
316997699|Pun Danda|Poon Hill|83.6895402|28.4000425|83° 41′ 22.34472″ E|28° 24′ 00.15300″ N
335376854|Mount Lhotse||86.9326734|27.9616389|86° 55′ 57.62424″ E|27° 57′ 41.90004″ N
425189343|Gokyo Ri||86.6831271|27.9615441|86° 40′ 59.25756″ E|27° 57′ 41.55876″ N
442260815|Machhermo Peak||86.6803363|27.9289461|86° 40′ 49.21068″ E|27° 55′ 44.20596″ N
442260822|Kyajori||86.6697903|27.9090478|86° 40′ 11.24508″ E|27° 54′ 32.57208″ N
477904053|Imja Tse|Island Peak|86.9346925|27.9200801|86° 56′ 04.89300″ E|27° 55′ 12.28836″ N
477904058|Ama Dablam||86.8604289|27.8621001|86° 51′ 37.54404″ E|27° 51′ 43.56036″ N
530579647|Dhaulagiri||83.4894884|28.6976088|83° 29′ 22.15824″ E|28° 41′ 51.39168″ N
564117511|Kalapatthar|Kala Patthar|86.8284407|27.9958|86° 49′ 42.38652″ E|27° 59′ 44.88000″ N
565159946|Makaru|Mount Makalu|87.0886361|27.8911991|87° 05′ 19.08996″ E|27° 53′ 28.31676″ N
565159949|Pung Gyen|Manaslu,Kutang|84.5597284|28.5499829|84° 33′ 35.02224″ E|28° 32′ 59.93844″ N
570126093|Sarangkot Tower||83.948565|28.2458266|83° 56′ 54.83400″ E|28° 14′ 44.97576″ N
582068699|Narsingh|Narsing|88.2811939|27.5115632|88° 16′ 52.29804″ E|27° 30′ 41.62752″ N
632389897|Lower Kyangin Ri||85.5706875|28.2176703|85° 34′ 14.47500″ E|28° 13′ 03.61308″ N
632390009|Kyangin Ri||85.5757748|28.2235944|85° 34′ 32.78928″ E|28° 13′ 24.93984″ N
632393142|Cherko Ri|Tesrko Ri,Tserko Ri|85.6004521|28.2132408|85° 36′ 01.62756″ E|28° 12′ 47.66688″ N
727090665|Annapurna South||83.8063433|28.5183959|83° 48′ 22.83588″ E|28° 31′ 06.22524″ N
727097756|Hiunchuli||83.85|28.51|83° 51′ 00.00000″ E|28° 30′ 36.00000″ N
727108156|Machapuchare||83.9458756|28.4979796|83° 56′ 45.15216″ E|28° 29′ 52.72656″ N
727127535|Yakawa Kang||83.9419335|28.8089011|83° 56′ 30.96060″ E|28° 48′ 32.04396″ N
727130032|Thorong Peak||83.9268777|28.7819689|83° 55′ 36.75972″ E|28° 46′ 55.08804″ N
727440357|Tilicho Peak||83.8114833|28.6826518|83° 48′ 41.33988″ E|28° 40′ 57.54648″ N
727448632|Chulu||84.035097|28.7368233|84° 02′ 06.34920″ E|28° 44′ 12.56388″ N
727451270|Tukuche Peak||83.557406|28.7449534|83° 33′ 26.66160″ E|28° 44′ 41.83224″ N
727458457|Nilgiri South||83.7296456|28.6541082|83° 43′ 46.72416″ E|28° 39′ 14.78952″ N
982180861|Langtang I|Langtang Lirung|85.5168032|28.256616|85° 31′ 00.49152″ E|28° 15′ 23.81760″ N
982195586|Pagmorpo|Dragmarpo Ri,Dragmorpa Ri|85.6621689|28.3259399|85° 39′ 43.80804″ E|28° 19′ 33.38364″ N
982202124|Dorje Lakpa||85.7795963|28.174715|85° 46′ 46.54668″ E|28° 10′ 28.97400″ N
982209975|Yala Peak||85.6228899|28.2409651|85° 37′ 22.40364″ E|28° 14′ 27.47436″ N
982567870|Baden-Powell Peak||85.5107609|28.1532813|85° 30′ 38.73924″ E|28° 09′ 11.81268″ N
992100217|Kanjiroba Himal||82.66667|29.41667|82° 40′ 00.01200″ E|29° 25′ 00.01200″ N
992100225|Porong Ri||85.71992|28.38947|85° 43′ 11.71200″ E|28° 23′ 22.09200″ N
992100227|Khojang||85.1157607|28.725318|85° 06′ 56.73852″ E|28° 43′ 31.14480″ N
992100228|Molamenqing||85.8095369|28.3562952|85° 48′ 34.33284″ E|28° 21′ 22.66272″ N
992100233|Loinbo Kangri||84.610279|29.8332433|84° 36′ 37.00440″ E|29° 49′ 59.67588″ N
992100238|Kangboqen|Gang Benchhen|85.54504|28.55184|85° 32′ 42.14400″ E|28° 33′ 06.62400″ N
996928321|Lhagoi Kangri||87.6276511|28.7913105|87° 37′ 39.54396″ E|28° 47′ 28.71780″ N
1026419629|Sailung||85.9743032|27.5616461|85° 58′ 27.49152″ E|27° 33′ 41.92596″ N
1078765330|Ngadi Chuli||84.5672489|28.5039267|84° 34′ 02.09604″ E|28° 30′ 14.13612″ N
1326607409|South Summit|South Peak|86.9253087|27.984918|86° 55′ 31.11132″ E|27° 59′ 05.70480″ N
1329343997|Rumsi||84.3437764|27.9437604|84° 20′ 37.59504″ E|27° 56′ 37.53744″ N
1367816359|Chulu West||84.0228323|28.7454053|84° 01′ 22.19628″ E|28° 44′ 43.45908″ N
1466788860|Merug La||88.9364553|27.3382507|88° 56′ 11.23908″ E|27° 20′ 17.70252″ N
1477920196|Endong||88.6939263|27.4910951|88° 41′ 38.13468″ E|27° 29′ 27.94236″ N
