TERMREASON|TERMREASONDESCRIPTION
0|Unknown
1|Success (main peak)
2|Success (subpeak)
3|Success (claimed)
4|Bad weather (storms, high winds)
5|Bad conditions (deep snow, avalanching, falling ice, or rock)
6|Accident (death or serious injury)
7|Illness, AMS, exhaustion, or frostbite
8|Lack (or loss) of supplies or equipment
9|Lack of time
10|Route technically too difficult, lack of experience, strength, or motivation
11|Did not reach base camp
12|Did not attempt climb
13|Attempt rumored
14|Other
