peak_number|peak_name|alt_names|himal|region|height|longitude|latitude|dms_longitude|dms_latitude|caravan_route
1|Abi||Mahalangur|Solukhumbu|6043|86.7236111|27.9833333|86° 43′ 25.00000″ E|27° 59′ 00.00000″ N|Lukla-Namche-Khumjung-Gokyo BC/Dingboche-Lobuche-BC
2|Agole East||Rolwaling|Solukhumbu|6675|86.5688889|27.8547222|86° 34′ 08.00000″ E|27° 51′ 17.00000″ N|Lukla-Namche-Thame-Targna Chudonmo Khola-BC/Charikot-Simigaun-Beding-Na-Tolumbau Glacier-BC
3|Aichyn||Chanwathan|Humla|6055|81.8597222|30.2708333|81° 51′ 35.00000″ E|30° 16′ 15.00000″ N|Simikotu Subakhola-Nyengla BC
4|Ama Dablam||Khumbu|Solukhumbu|6814|86.8638889|27.8611111|86° 51′ 50.00000″ E|27° 51′ 40.00000″ N|Lukla-Namche-Khumjung-Pangboche-BC/Milingo-Mingbo-BC
5|Amotsang||Damodar|Manang|6393|84.1725|28.8347222|84° 10′ 21.00000″ E|28° 50′ 05.00000″ N|Besisahar-Koto-Phu-Pokarkang BC or Naar-Labse Khola-BC
6|Amphu Gyabjen||Mahalangur|Solukhumbu|5630|86.8708333|27.8811111|86° 52′ 15.00000″ E|27° 52′ 52.00000″ N|Lukla-Namche-Khumjung-Dingboche-BC
7|Amphu I||Mahalangur|Solukhumbu|6740|86.9555556|27.8702778|86° 57′ 20.00000″ E|27° 52′ 13.00000″ N|Lukla-Namche-Khumjung-Dingboche-BC
8|Anidesh Chuli|White Wave|Kanchenjunga|Taplejung|6808|88.0708333|27.7186111|88° 04′ 15.00000″ E|27° 43′ 07.00000″ N|Taplejung-Ghunsa-Pangpema-BC
9|Annapurna I||Annapurna|Myagdi/Kaski|8091|83.8225|28.5955556|83° 49′ 21.00000″ E|28° 35′ 44.00000″ N|Pokhara-Beni-Lete-Thulobugin-MirstiKhola-BC/Gandrung-Annapurna BC
10|Annapurna II||Annapurna|Kaski/Manang|7937|84.1241667|28.5347222|84° 07′ 27.00000″ E|28° 32′ 05.00000″ N|Besisahar-Dharapani-Chame-Homde-BC/Setikhola-Annapurna BC
11|Annapurna III||Annapurna|Kaski/Manang|7555|83.9916667|28.5844444|83° 59′ 30.00000″ E|28° 35′ 04.00000″ N|Besisahar-Dharapani-Chame-Braga-BC/Pokhara-Chemrong-Manchhapuchhere-BC
12|Annapurna IV||Annapurna|Kaski/Manang|7525|84.085|28.5366667|84° 05′ 06.00000″ E|28° 32′ 12.00000″ N|Besisahar-Dharapani-Chame-Homde-BC/Pokhara-Burjung Khola-BC
13|Annapurna South||Annapurna|Kaski/Manang|7219|83.8080556|28.5183333|83° 48′ 29.00000″ E|28° 31′ 06.00000″ N|Birethanti-Ghandruk-BC
14|Api Main||Byas-Rishi|Darchula|7132|80.9316667|30.0052778|80° 55′ 54.00000″ E|30° 00′ 19.00000″ N|Darchula-Syaku-Gati Bagad-BC/Baitadi-Gokuleswar-Ghunsa-BC
15|Api West||Byas-Rishi|Darchula|7076|80.9255556|30.0016667|80° 55′ 32.00000″ E|30° 00′ 06.00000″ N|Darchula-Syaku-Gat Ktm-Darchula-Syaku-Gati Bagad-BC/Baitadi-Gokuleswar-Ghunsa-BC i Bagad-BC
16|Araniko Chuli||Damodar|Dolpa/Mustang/NC|6034|83.6594444|29.1761111|83° 39′ 34.00000″ E|29° 10′ 34.00000″ N|Jomosom-Ghami or Lo Manthang-BC
17|Ardang|||Humla|6034|81.6233333|30.1988889|81° 37′ 24.00000″ E|30° 11′ 56.00000″ N|Simikot-Subakhola-Nyeng-la BC/Kermi-Nyalungla-Kying Khola BC
18|Asajya Tuppa||Gorakh Himal|Humla/NC|6265|82.2797222|30.0625|82° 16′ 47.00000″ E|30° 03′ 45.00000″ N|Jumla-Gamgadi-Piplan-Nepka-Bhoblhanchaur-BC/Rimi-Nepka-Take Khola-BC
19|Baden Powell Scout Peak|Urkema Peak|Langtang|Rasuwa/Sindhupalchok|5890|85.5125|28.1527778|85° 30′ 45.00000″ E|28° 09′ 10.00000″ N|Syabrubenshi-Langtang-Kyangjin Gumba-BC
20|Bamongo||Gaurishankar|Dolakha/NC|6406|86.4352778|27.9086111|86° 26′ 07.00000″ E|27° 54′ 31.00000″ N|Charikot-Simigaon-Bedding-BC
21|Barun Tse||Barun|Solukhumbu/Sankhuwasabha|7152|86.9827778|27.8713889|86° 58′ 58.00000″ E|27° 52′ 17.00000″ N|Lukla-Thaknag-Merala-Panch Pokhari-BC/Tumlingtar-Tashgaun-BC
22|Baudha||Mansiri|Lamjung/Gorkha|6672|84.6788889|28.3755556|84° 40′ 44.00000″ E|28° 22′ 32.00000″ N|Gorka-Barpak-Rupina la-BC
23|Bedding Go||Rolwaling|Dolakha/NC|6125|86.3930556|27.9258333|86° 23′ 35.00000″ E|27° 55′ 33.00000″ N|Charikot-Simigaon-Beding-BC
24|Bhairab Takura|Madiya Peak|Jugal|Sindhupalchok/NC|6799|85.8097222|28.1977778|85° 48′ 35.00000″ E|28° 11′ 52.00000″ N|Barabishe-Listimai-Bagan-Bhairav Kunda-BC
25|Bhemdang Ri||Langtang|Rasuwa|6150|85.6677778|28.2733333|85° 40′ 04.00000″ E|28° 16′ 24.00000″ N|Dhunche-Langtang-Kyanjin-BC
26|Bhrikuti||Damodar|Mustang|6476|84.1475|28.9188889|84° 08′ 51.00000″ E|28° 55′ 08.00000″ N|Jomsom-Lomanthang-Damodar Kunda-BC
27|Bhrikuti Shail||Damodar|Mustang/Manang/NC|6361|84.2283333|28.8938889|84° 13′ 42.00000″ E|28° 53′ 38.00000″ N|Jomosom-Lo Manthang-Damodar Kunda-BC
28|Bhulu Lhasa||Kanjiroba|Mugu|6102|82.5994444|29.4413889|82° 35′ 58.00000″ E|29° 26′ 29.00000″ N|Gamgadi-Nangri-Dolpho-Sumdo Khola BC
29|Bijora Hiun Chuli||Kanjiroba|Jumla|6111|82.5308333|29.2919444|82° 31′ 51.00000″ E|29° 17′ 31.00000″ N|Jumla-Talphi-Chaudebesi Khola BC
30|Bobaye||Byas-Risi|Darchula/Bajhang|6808|81.0225|29.9591667|81° 01′ 21.00000″ E|29° 57′ 33.00000″ N|Baitedi-Gokuleswar-Ghusa-BC
31|Bokta Peak||Kanchenjunga|Taplejung|6114|88.0069444|27.6208333|88° 00′ 25.00000″ E|27° 37′ 15.00000″ N|Taplejung-Yamphuding-Ramje-BC/Ghunsa-Lapsang BC
32|Burke Khang||Mahalangur|Solukhumbu/NC|6942|86.7738889|28.0369444|86° 46′ 26.00000″ E|28° 02′ 13.00000″ N|Lukla-Namche-Khumjung-Gokyo-BC/Zongla-BC
33|Chabuk|Tsajirip|Kanchenjunga|Taplejung/NC|6792|87.9875|27.8858333|87° 59′ 15.00000″ E|27° 53′ 09.00000″ N|Taplejung-Ghunsa-BC
34|Chago||Mahalangur|Sankhuwasabha/NC|6893|87.0563889|27.9261111|87° 03′ 23.00000″ E|27° 55′ 34.00000″ N|Tumlingtar-Seduwa-Shipton's Pass-Shershong-BC/Lukla-Thangna-West Col-Sherpani Col-Makalu-BC
35|Chako||Peri Himal|Manang/NC|6704|84.2886111|28.8805556|84° 17′ 19.00000″ E|28° 52′ 50.00000″ N|Besisahar-Chame-Chechna-Meta-BC
36|Chamar||Shringi|Gorkha|7161|84.9505556|28.5466667|84° 57′ 02.00000″ E|28° 32′ 48.00000″ N|Arughat-Jagat-Tsum Valley-BC
37|Chamar North||Sringi|Gorkha|7165|84.9469444|28.5552778|84° 56′ 49.00000″ E|28° 33′ 19.00000″ N|Ktm-Arughat-Jagat-Tsum Valley-BC
38|Chamlang||Mahalangur|Solukhumbu/Sankhuwasabha|7321|86.9822222|27.7752778|86° 58′ 56.00000″ E|27° 46′ 31.00000″ N|Lukla-Chatra La-Tagnak-Merala-Honku Valley-BC
39|Chandi Himal||Chandi Himal|Humla/NC|6142|81.9513889|30.3591667|81° 57′ 05.00000″ E|30° 21′ 33.00000″ N|Simikot-Chuwa Khola-Ning Khola-BC
40|Chang Himal|Wedge Peak|Kanchenjunga|Taplejung|6802|88.0861111|27.7652778|88° 05′ 10.00000″ E|27° 45′ 55.00000″ N|Taplejung-Ghunsa-Lonak-BC
41|Changdi||Palchung|Mugu/NC|6623|82.7986111|29.7191667|82° 47′ 55.00000″ E|29° 43′ 09.00000″ N|Jufal-Shey Phoksundo-Bhijer-Tankya Khola-BC
42|Changla||Changla|Humla/NC|6563|82.1288889|30.3030556|82° 07′ 44.00000″ E|30° 18′ 11.00000″ N|Simikot-Dharapani-Kanche-Bhimthaukoti-BC
43|Changwathang||Chandi Himal|Humla|6130|81.8883333|30.3263889|81° 53′ 18.00000″ E|30° 19′ 35.00000″ N|Nepalganj-Simikot-Kermi-Nyu La-Takchen-Taisolu Khola-BC
44|Chaw Peak||Kanchanjunga|Taplejung/NC|6404|87.9441667|27.9097222|87° 56′ 39.00000″ E|27° 54′ 35.00000″ N|Taplejung-Yanma-Lonak-BC
45|Chekigo||Gaurishankar|Dolakha/NC|6121|86.4136111|27.9063889|86° 24′ 49.00000″ E|27° 54′ 23.00000″ N|Charikot-Simigaon-Beding-BC
46|Cheo Himal||Peri|Manang/NC|6820|84.4541667|28.7647222|84° 27′ 15.00000″ E|28° 45′ 53.00000″ N|Besisahar-Dharapani-Larkye Pass-Pambari BC
47|Chhib Himal|Chhiv Himal|Damodar|Mustang/Manang|6650|84.1622222|28.8733333|84° 09′ 44.00000″ E|28° 52′ 24.00000″ N|Jomosom-Tsarang-Lo Manthang-Damodar Kunda-BC/Bensishar-Koto-Phu
48|Chhochenphu Himal||Kanchanjunga|Taplejung|6260|87.7644444|27.8319444|87° 45′ 52.00000″ E|27° 49′ 55.00000″ N|Taplejung-Chiruwa-Olangchungola-Nyup-Yangma-Cherchenpokhari-BC
49|Chhopa Bamare||Rolwaling|Dolakha/NC|6109|86.0919444|28.0572222|86° 05′ 31.00000″ E|28° 03′ 26.00000″ N|Singate-Lambagar-BC
50|Chhuboche Peak||Annapurna|Manang|5606|84.2183333|28.7516667|84° 13′ 06.00000″ E|28° 45′ 06.00000″ N|Besisahar-Koto-BC
51|Chhukung Chuli||Khumbu|Solukhumbu|5833|86.8772222|27.9388889|86° 52′ 38.00000″ E|27° 56′ 20.00000″ N|Lukla-Namche-Khumjung-Dingboche-BC
52|Cho Polu||Mahalangur|Solukhumbu/Sankhuwasabha|6700|86.9836111|27.9194444|86° 59′ 01.00000″ E|27° 55′ 10.00000″ N|Tumlingtar-Seduwa-Shipton's Pass-Shershong-BC or Lukla-Namche-Khumjung-Dingboche-BC
53|Chobuje||Rolwaling|Dolakha|6686|86.4916667|27.8822222|86° 29′ 30.00000″ E|27° 52′ 56.00000″ N|Charikot-Simigaon-Beding-Na-Rolwaling Glacier-BC
54|Chola Tse||Khumbu|Solukhumbu|6423|86.7688889|27.9202778|86° 46′ 08.00000″ E|27° 55′ 13.00000″ N|Lukla-Namche-Khumjung-Pheriche-Zongla-BC
55|Cho-Oyu||Khumbu|Solukhumbu/NC|8188|86.6633333|28.0936111|86° 39′ 48.00000″ E|28° 05′ 37.00000″ N|Lukla-Namce-Khumjung-Gokyo-BC/Thame-Tarnga-Arya-BC
56|Chota Ri|Kali Himal|Khumbu Himal|Solukhumbu/Sankhuwasabha|6985|86.9755556|27.8772222|86° 58′ 32.00000″ E|27° 52′ 38.00000″ N|Lukla-Thaknag-Amphu Laptse-BC/Namche-Khumjung-Dingboche-BC
57|Chukyima Go||Rolwaling|Dolakha/Ramechhap|6258|86.4525|27.8322222|86° 27′ 09.00000″ E|27° 49′ 56.00000″ N|Charikot-Simigaon-Beding-Na-Cho Rolpa-BC
58|Chulu East||Damodar|Manang|6584|84.0366667|28.7358333|84° 02′ 12.00000″ E|28° 44′ 09.00000″ N|Besisahar-chame-ngawal-BC
